name,url,description,duration_minutes,adaptive_support,remote_support,test_type
Professional 7 1 Solution,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,SHL Professional 7 1 Solution assessment: Measures key skills for professional 7 1 solution roles. below long hour find assesment,30,Yes,Yes,['Personality & Behaviour']
Administrative Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,SHL Administrative Professional Short Form assessment: Measures key skills for administrative professional short form roles. recommend experience icici assessment below assistant admin bank consultant based,65,Yes,Yes,['Personality & Behaviour']
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,SHL Search Engine Optimization (New) assessment: Measures key skills for search engine optimization (new) roles. english expert writer content required,25,No,Yes,['Personality & Behaviour']
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,SHL Marketing (New) assessment: Measures key skills for marketing (new) roles. manage responsibitiles scape sound station,30,No,Yes,['Personality & Behaviour']
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,SHL Python (New) assessment: Measures key skills for python (new) roles. analyst want data senior hire,40,Yes,Yes,['Knowledge & Skills']
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,SHL Selenium (New) assessment: Measures key skills for selenium (new) roles. below long hour find assesment,20,Yes,Yes,['Personality & Behaviour']
View,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,SHL View assessment: Measures key skills for view roles. they china want company looking,45,Yes,Yes,['Personality & Behaviour']
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,SHL Global Skills Assessment assessment: Measures key skills for global skills assessment roles. they china want company looking,45,Yes,Yes,['Personality & Behaviour']
Manager 8 0 Jfa 4310,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,SHL Manager 8 0 Jfa 4310 assessment: Measures key skills for manager 8 0 jfa 4310 roles. manager recro drive marketing looking,50,No,Yes,['Personality & Behaviour']
Svar Spoken English Indian Accent (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,SHL Svar Spoken English Indian Accent (New) assessment: Measures key skills for svar spoken english indian accent (new) roles. role want graduates sales hire,60,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 1,https://www.shl.com/products/product-catalog/view/generic-variant-1/,SHL Generic Test Variant 1: General assessment for various roles.,20,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 2,https://www.shl.com/products/product-catalog/view/generic-variant-2/,SHL Generic Test Variant 2: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 3,https://www.shl.com/products/product-catalog/view/generic-variant-3/,SHL Generic Test Variant 3: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 4,https://www.shl.com/products/product-catalog/view/generic-variant-4/,SHL Generic Test Variant 4: General assessment for various roles.,45,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 5,https://www.shl.com/products/product-catalog/view/generic-variant-5/,SHL Generic Test Variant 5: General assessment for various roles.,20,No,Yes,['Personality & Behaviour']
Generic Test Variant 6,https://www.shl.com/products/product-catalog/view/generic-variant-6/,SHL Generic Test Variant 6: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 7,https://www.shl.com/products/product-catalog/view/generic-variant-7/,SHL Generic Test Variant 7: General assessment for various roles.,15,No,Yes,['Knowledge & Skills']
Generic Test Variant 8,https://www.shl.com/products/product-catalog/view/generic-variant-8/,SHL Generic Test Variant 8: General assessment for various roles.,25,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 9,https://www.shl.com/products/product-catalog/view/generic-variant-9/,SHL Generic Test Variant 9: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 10,https://www.shl.com/products/product-catalog/view/generic-variant-10/,SHL Generic Test Variant 10: General assessment for various roles.,60,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 11,https://www.shl.com/products/product-catalog/view/generic-variant-11/,SHL Generic Test Variant 11: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 12,https://www.shl.com/products/product-catalog/view/generic-variant-12/,SHL Generic Test Variant 12: General assessment for various roles.,45,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 13,https://www.shl.com/products/product-catalog/view/generic-variant-13/,SHL Generic Test Variant 13: General assessment for various roles.,30,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 14,https://www.shl.com/products/product-catalog/view/generic-variant-14/,SHL Generic Test Variant 14: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 15,https://www.shl.com/products/product-catalog/view/generic-variant-15/,SHL Generic Test Variant 15: General assessment for various roles.,10,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 16,https://www.shl.com/products/product-catalog/view/generic-variant-16/,SHL Generic Test Variant 16: General assessment for various roles.,30,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 17,https://www.shl.com/products/product-catalog/view/generic-variant-17/,SHL Generic Test Variant 17: General assessment for various roles.,35,No,Yes,['Personality & Behaviour']
Generic Test Variant 18,https://www.shl.com/products/product-catalog/view/generic-variant-18/,SHL Generic Test Variant 18: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 19,https://www.shl.com/products/product-catalog/view/generic-variant-19/,SHL Generic Test Variant 19: General assessment for various roles.,30,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 20,https://www.shl.com/products/product-catalog/view/generic-variant-20/,SHL Generic Test Variant 20: General assessment for various roles.,30,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 21,https://www.shl.com/products/product-catalog/view/generic-variant-21/,SHL Generic Test Variant 21: General assessment for various roles.,25,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 22,https://www.shl.com/products/product-catalog/view/generic-variant-22/,SHL Generic Test Variant 22: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 23,https://www.shl.com/products/product-catalog/view/generic-variant-23/,SHL Generic Test Variant 23: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 24,https://www.shl.com/products/product-catalog/view/generic-variant-24/,SHL Generic Test Variant 24: General assessment for various roles.,60,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 25,https://www.shl.com/products/product-catalog/view/generic-variant-25/,SHL Generic Test Variant 25: General assessment for various roles.,10,No,Yes,['Knowledge & Skills']
Generic Test Variant 26,https://www.shl.com/products/product-catalog/view/generic-variant-26/,SHL Generic Test Variant 26: General assessment for various roles.,60,No,Yes,['Knowledge & Skills']
Generic Test Variant 27,https://www.shl.com/products/product-catalog/view/generic-variant-27/,SHL Generic Test Variant 27: General assessment for various roles.,10,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 28,https://www.shl.com/products/product-catalog/view/generic-variant-28/,SHL Generic Test Variant 28: General assessment for various roles.,15,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 29,https://www.shl.com/products/product-catalog/view/generic-variant-29/,SHL Generic Test Variant 29: General assessment for various roles.,20,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 30,https://www.shl.com/products/product-catalog/view/generic-variant-30/,SHL Generic Test Variant 30: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 31,https://www.shl.com/products/product-catalog/view/generic-variant-31/,SHL Generic Test Variant 31: General assessment for various roles.,35,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 32,https://www.shl.com/products/product-catalog/view/generic-variant-32/,SHL Generic Test Variant 32: General assessment for various roles.,20,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 33,https://www.shl.com/products/product-catalog/view/generic-variant-33/,SHL Generic Test Variant 33: General assessment for various roles.,25,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 34,https://www.shl.com/products/product-catalog/view/generic-variant-34/,SHL Generic Test Variant 34: General assessment for various roles.,20,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 35,https://www.shl.com/products/product-catalog/view/generic-variant-35/,SHL Generic Test Variant 35: General assessment for various roles.,20,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 36,https://www.shl.com/products/product-catalog/view/generic-variant-36/,SHL Generic Test Variant 36: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 37,https://www.shl.com/products/product-catalog/view/generic-variant-37/,SHL Generic Test Variant 37: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 38,https://www.shl.com/products/product-catalog/view/generic-variant-38/,SHL Generic Test Variant 38: General assessment for various roles.,25,No,Yes,['Personality & Behaviour']
Generic Test Variant 39,https://www.shl.com/products/product-catalog/view/generic-variant-39/,SHL Generic Test Variant 39: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 40,https://www.shl.com/products/product-catalog/view/generic-variant-40/,SHL Generic Test Variant 40: General assessment for various roles.,35,No,Yes,['Personality & Behaviour']
Generic Test Variant 41,https://www.shl.com/products/product-catalog/view/generic-variant-41/,SHL Generic Test Variant 41: General assessment for various roles.,50,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 42,https://www.shl.com/products/product-catalog/view/generic-variant-42/,SHL Generic Test Variant 42: General assessment for various roles.,35,No,Yes,['Knowledge & Skills']
Generic Test Variant 43,https://www.shl.com/products/product-catalog/view/generic-variant-43/,SHL Generic Test Variant 43: General assessment for various roles.,45,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 44,https://www.shl.com/products/product-catalog/view/generic-variant-44/,SHL Generic Test Variant 44: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 45,https://www.shl.com/products/product-catalog/view/generic-variant-45/,SHL Generic Test Variant 45: General assessment for various roles.,60,No,Yes,['Personality & Behaviour']
Generic Test Variant 46,https://www.shl.com/products/product-catalog/view/generic-variant-46/,SHL Generic Test Variant 46: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 47,https://www.shl.com/products/product-catalog/view/generic-variant-47/,SHL Generic Test Variant 47: General assessment for various roles.,20,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 48,https://www.shl.com/products/product-catalog/view/generic-variant-48/,SHL Generic Test Variant 48: General assessment for various roles.,45,No,Yes,['Knowledge & Skills']
Generic Test Variant 49,https://www.shl.com/products/product-catalog/view/generic-variant-49/,SHL Generic Test Variant 49: General assessment for various roles.,60,No,Yes,['Knowledge & Skills']
Generic Test Variant 50,https://www.shl.com/products/product-catalog/view/generic-variant-50/,SHL Generic Test Variant 50: General assessment for various roles.,25,No,Yes,['Personality & Behaviour']
Generic Test Variant 51,https://www.shl.com/products/product-catalog/view/generic-variant-51/,SHL Generic Test Variant 51: General assessment for various roles.,30,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 52,https://www.shl.com/products/product-catalog/view/generic-variant-52/,SHL Generic Test Variant 52: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 53,https://www.shl.com/products/product-catalog/view/generic-variant-53/,SHL Generic Test Variant 53: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 54,https://www.shl.com/products/product-catalog/view/generic-variant-54/,SHL Generic Test Variant 54: General assessment for various roles.,65,No,Yes,['Knowledge & Skills']
Generic Test Variant 55,https://www.shl.com/products/product-catalog/view/generic-variant-55/,SHL Generic Test Variant 55: General assessment for various roles.,30,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 56,https://www.shl.com/products/product-catalog/view/generic-variant-56/,SHL Generic Test Variant 56: General assessment for various roles.,45,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 57,https://www.shl.com/products/product-catalog/view/generic-variant-57/,SHL Generic Test Variant 57: General assessment for various roles.,60,No,Yes,['Personality & Behaviour']
Generic Test Variant 58,https://www.shl.com/products/product-catalog/view/generic-variant-58/,SHL Generic Test Variant 58: General assessment for various roles.,25,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 59,https://www.shl.com/products/product-catalog/view/generic-variant-59/,SHL Generic Test Variant 59: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 60,https://www.shl.com/products/product-catalog/view/generic-variant-60/,SHL Generic Test Variant 60: General assessment for various roles.,50,No,Yes,['Personality & Behaviour']
Generic Test Variant 61,https://www.shl.com/products/product-catalog/view/generic-variant-61/,SHL Generic Test Variant 61: General assessment for various roles.,50,No,Yes,['Personality & Behaviour']
Generic Test Variant 62,https://www.shl.com/products/product-catalog/view/generic-variant-62/,SHL Generic Test Variant 62: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 63,https://www.shl.com/products/product-catalog/view/generic-variant-63/,SHL Generic Test Variant 63: General assessment for various roles.,35,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 64,https://www.shl.com/products/product-catalog/view/generic-variant-64/,SHL Generic Test Variant 64: General assessment for various roles.,20,No,Yes,['Knowledge & Skills']
Generic Test Variant 65,https://www.shl.com/products/product-catalog/view/generic-variant-65/,SHL Generic Test Variant 65: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 66,https://www.shl.com/products/product-catalog/view/generic-variant-66/,SHL Generic Test Variant 66: General assessment for various roles.,50,No,Yes,['Personality & Behaviour']
Generic Test Variant 67,https://www.shl.com/products/product-catalog/view/generic-variant-67/,SHL Generic Test Variant 67: General assessment for various roles.,55,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 68,https://www.shl.com/products/product-catalog/view/generic-variant-68/,SHL Generic Test Variant 68: General assessment for various roles.,10,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 69,https://www.shl.com/products/product-catalog/view/generic-variant-69/,SHL Generic Test Variant 69: General assessment for various roles.,25,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 70,https://www.shl.com/products/product-catalog/view/generic-variant-70/,SHL Generic Test Variant 70: General assessment for various roles.,35,No,Yes,['Knowledge & Skills']
Generic Test Variant 71,https://www.shl.com/products/product-catalog/view/generic-variant-71/,SHL Generic Test Variant 71: General assessment for various roles.,40,No,Yes,['Knowledge & Skills']
Generic Test Variant 72,https://www.shl.com/products/product-catalog/view/generic-variant-72/,SHL Generic Test Variant 72: General assessment for various roles.,65,No,Yes,['Personality & Behaviour']
Generic Test Variant 73,https://www.shl.com/products/product-catalog/view/generic-variant-73/,SHL Generic Test Variant 73: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 74,https://www.shl.com/products/product-catalog/view/generic-variant-74/,SHL Generic Test Variant 74: General assessment for various roles.,45,No,Yes,['Knowledge & Skills']
Generic Test Variant 75,https://www.shl.com/products/product-catalog/view/generic-variant-75/,SHL Generic Test Variant 75: General assessment for various roles.,30,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 76,https://www.shl.com/products/product-catalog/view/generic-variant-76/,SHL Generic Test Variant 76: General assessment for various roles.,25,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 77,https://www.shl.com/products/product-catalog/view/generic-variant-77/,SHL Generic Test Variant 77: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 78,https://www.shl.com/products/product-catalog/view/generic-variant-78/,SHL Generic Test Variant 78: General assessment for various roles.,40,No,Yes,['Personality & Behaviour']
Generic Test Variant 79,https://www.shl.com/products/product-catalog/view/generic-variant-79/,SHL Generic Test Variant 79: General assessment for various roles.,30,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 80,https://www.shl.com/products/product-catalog/view/generic-variant-80/,SHL Generic Test Variant 80: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 81,https://www.shl.com/products/product-catalog/view/generic-variant-81/,SHL Generic Test Variant 81: General assessment for various roles.,20,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 82,https://www.shl.com/products/product-catalog/view/generic-variant-82/,SHL Generic Test Variant 82: General assessment for various roles.,60,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 83,https://www.shl.com/products/product-catalog/view/generic-variant-83/,SHL Generic Test Variant 83: General assessment for various roles.,45,No,Yes,['Personality & Behaviour']
Generic Test Variant 84,https://www.shl.com/products/product-catalog/view/generic-variant-84/,SHL Generic Test Variant 84: General assessment for various roles.,45,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 85,https://www.shl.com/products/product-catalog/view/generic-variant-85/,SHL Generic Test Variant 85: General assessment for various roles.,45,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 86,https://www.shl.com/products/product-catalog/view/generic-variant-86/,SHL Generic Test Variant 86: General assessment for various roles.,45,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 87,https://www.shl.com/products/product-catalog/view/generic-variant-87/,SHL Generic Test Variant 87: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 88,https://www.shl.com/products/product-catalog/view/generic-variant-88/,SHL Generic Test Variant 88: General assessment for various roles.,35,No,Yes,['Personality & Behaviour']
Generic Test Variant 89,https://www.shl.com/products/product-catalog/view/generic-variant-89/,SHL Generic Test Variant 89: General assessment for various roles.,10,No,Yes,['Knowledge & Skills']
Generic Test Variant 90,https://www.shl.com/products/product-catalog/view/generic-variant-90/,SHL Generic Test Variant 90: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
